Latitude,Longitude,Nama_Unit,Kode_Unit,Alamat,Dokter_Spesialis,Dokter_Umum,Dokter_Gigi,Perawat,Bidan,Farmasi,Nakes_Lainnya,Tenaga_Pendukung,Provinsi
-8.061944,111.291779,TEGALOMBO,P3501090101,"Jl. Raya Pacitan Ponorogo Km.34, Kec. Tegalombo",0,3,1,20,12,3,15,10,JAWA TIMUR
-7.950028,111.234192,JERUK,P3501080202,"Jl. Raya Jeruk Purwantoro, Kec. Bandar",0,1,1,12,8,5,5,6,JAWA TIMUR
-7.944333,111.199387,PAKISBARU,P3501070102,"Jl. Raya Purwantoro-Nawangan, Kec. Nawangan",0,2,0,13,8,1,10,16,JAWA TIMUR
-8.094472,111.201721,KEDUNGBENDO,P3501060202,"Jl. Raya Pacitan Ponorogo Km.23 Ds. Jatimalang, Kec. Arjosari",0,1,0,7,8,2,5,5,JAWA TIMUR
-8.110139,111.150169,ARJOSARI,P3501060201,"Jl. Raya Nawangan Km.2 Dsn Krajan Kulon, Kec. Arjosari",0,2,1,11,13,2,5,8,JAWA TIMUR
-8.177417,111.200996,KETROWONOJOYO,P3501050202,"Jl. Pacitan Lorok Km.16, Kec. Kebonagung",0,1,0,7,9,2,6,5,JAWA TIMUR
-8.220889,111.158142,KEBONAGUNG,P3501050201,"Jl. Raya Kebonagung No.5 Dsn Krajan, Kec. Kebonagung",0,2,0,15,16,4,7,7,JAWA TIMUR
-8.196889,111.112663,TANJUNGSARI,P3501040202,"Jl. PB.Sudirman No.67 A, Kec. Pacitan",0,2,1,14,15,3,7,6,JAWA TIMUR
-8.193611,111.12664,PACITAN,P3501040201,"Jl. Grindulu No.33, Kec. Pacitan",0,1,1,15,13,2,8,5,JAWA TIMUR
-8.219778,111.025444,CANDI,P3501030202,"Jl. Pacitan Watukarung, Kec. Pringkuku",0,1,0,10,7,4,5,4,JAWA TIMUR
-8.171694,111.048248,PRINGKUKU,P3501030201,"Jl. Tumpak Rinjing Km.22, Kec. Pringkuku",0,1,0,10,10,4,8,8,JAWA TIMUR
-8.135278,111.00872,PUNUNG,P3501020101,"Jl. Raya Solo No.13, Kec. Punung",0,2,1,16,11,3,13,15,JAWA TIMUR
-8.191917,111.93158,KALAK,P3501010202,"Ds. Kalak, Kec. Donorojo",0,1,0,12,7,2,7,5,JAWA TIMUR
-8.092389,111.983833,DONOROJO,P3501010101,"Ds. Donorojo, Kec. Donorojo",0,1,1,24,10,3,11,10,JAWA TIMUR
-8.20125,111.102043,RSUD dr. Darsono,R3501016,Jl. Jen A Yani No. 51 Pacitan,18,29,6,142,29,37,56,140,JAWA TIMUR
?,?,RSB Agung Mulia,R3501017S,jl. Sasuit Tubun,6,2,0,5,9,2,0,12,JAWA TIMUR
-7.854103,111.468536,RSUD Dr. Harjono S Ponorogo,R3502010,Jl. Raya Ponorogo-Pacitan Pakunden Ponorogo,25,15,2,233,38,31,59,175,JAWA TIMUR
-7.872197,111.461311,RSU Aisyiah Ponorogo,R3502112,"Jl. Dr Sutomo 18 - 24, Ponorogo",16,8,2,130,12,13,10,108,JAWA TIMUR
-7.86845,111.473,RSU Darmayu,R3502123,Jl. Dr. Soetomo 44 Ponorogo,0,6,0,0,0,0,0,0,JAWA TIMUR
?,?,RSU MUHAMMADIYAH PONOROGO,R3502134,Jl. Diponegoro No.50 Ponorogo,15,6,1,64,14,0,14,75,JAWA TIMUR
-7.872275,111.461258,RSU Griya Waluya,R3502145,Jl. Sultan Agung 68 Ponorogo,0,0,0,0,0,0,0,0,JAWA TIMUR
?,?,RSU Muslimat Ponorogo,R3502146,"Jl. Jend.A.Yani 155,Ponorogo",13,9,1,43,11,7,5,55,JAWA TIMUR
-7.626433,111.524124,RSUD Dr. Soedomo Trenggalek,R3503011,Jl. Dr Soetomo No. 2 Trenggalek,10,18,2,163,29,16,62,100,JAWA TIMUR
-8.056225,111.697716,RSU Budi Asih Trenggalek,R3503022,Jl. Mayjen Sungkono Trenggalek,10,6,1,50,8,3,20,5,JAWA TIMUR
-8.058044,111.704811,RSU Mardi Mulia,R3503044,Jl. Sutomo 19 Trenggalek,0,6,0,0,0,0,0,0,JAWA TIMUR
?,?,RSIA HST,R3503045,Jl. Dr. Soetomo 39A,4,1,0,12,3,1,16,15,JAWA TIMUR
